"Date","Price","Open","High","Low","Vol.","Change %"
"04-01-2024","43,550.00","43,680.00","43,700.00","43,490.00","0.18K","-0.21%"
"03-01-2024","43,640.00","43,440.00","43,700.00","43,440.00","0.16K","0.18%"
"02-01-2024","43,560.00","43,600.00","43,600.00","43,440.00","0.09K","-0.09%"
"01-01-2024","43,600.00","43,800.00","43,840.00","43,490.00","0.13K","0.25%"
"29-12-2023","43,490.00","43,650.00","43,700.00","43,430.00","0.34K","-0.23%"
"28-12-2023","43,590.00","43,750.00","43,750.00","43,560.00","0.25K","-0.32%"
"27-12-2023","43,730.00","43,700.00","43,840.00","43,640.00","0.17K","0.11%"
"26-12-2023","43,680.00","43,840.00","43,840.00","43,610.00","0.33K","-1.06%"
"22-12-2023","44,150.00","44,080.00","44,250.00","44,000.00","0.67K","0.09%"
"21-12-2023","44,110.00","44,110.00","44,160.00","44,080.00","0.31K","0.25%"
"20-12-2023","44,000.00","44,000.00","44,000.00","44,000.00","0.01K","0.00%"
"19-12-2023","44,000.00","44,000.00","44,000.00","44,000.00","0.02K","-0.95%"
"18-12-2023","44,420.00","44,420.00","44,420.00","44,420.00","","0.50%"
"15-12-2023","44,200.00","44,200.00","44,200.00","44,200.00","","1.31%"
"14-12-2023","43,630.00","43,450.00","43,980.00","43,450.00","0.33K","0.51%"
"13-12-2023","43,410.00","43,570.00","43,680.00","43,400.00","0.21K","-0.87%"
"12-12-2023","43,790.00","43,600.00","43,830.00","43,590.00","0.42K","0.76%"
"11-12-2023","43,460.00","43,420.00","43,520.00","43,420.00","0.08K","-0.32%"
"08-12-2023","43,600.00","43,570.00","43,650.00","43,570.00","0.14K","0.09%"
"07-12-2023","43,560.00","43,490.00","43,590.00","43,490.00","0.23K","-0.43%"
"06-12-2023","43,750.00","43,700.00","43,890.00","43,690.00","0.25K","0.34%"
"05-12-2023","43,600.00","43,450.00","43,710.00","43,450.00","0.09K","0.28%"
"04-12-2023","43,480.00","43,540.00","43,550.00","43,380.00","0.15K","0.02%"
"01-12-2023","43,470.00","43,400.00","43,550.00","43,190.00","0.49K","0.09%"
"30-11-2023","43,430.00","43,600.00","43,600.00","43,380.00","0.39K","-0.69%"
"29-11-2023","43,730.00","43,850.00","43,900.00","43,660.00","0.36K","0.21%"
"28-11-2023","43,640.00","44,130.00","44,130.00","42,150.00","0.38K","-1.51%"
"24-11-2023","44,310.00","44,460.00","44,460.00","44,290.00","0.35K","-0.29%"
"23-11-2023","44,440.00","44,550.00","44,630.00","44,400.00","0.28K","-0.09%"
"22-11-2023","44,480.00","44,400.00","44,500.00","44,300.00","0.27K","0.04%"
"21-11-2023","44,460.00","44,470.00","44,540.00","44,330.00","0.16K","1.51%"
"20-11-2023","43,800.00","44,350.00","44,350.00","44,350.00","","-0.64%"
"17-11-2023","44,080.00","44,080.00","44,080.00","44,080.00","","-0.14%"
"16-11-2023","44,140.00","44,140.00","44,140.00","44,140.00","","1.68%"
"15-11-2023","43,410.00","43,410.00","43,410.00","43,400.00","0.05K","2.33%"
"13-11-2023","42,420.00","43,500.00","43,500.00","42,200.00","0.68K","-2.12%"
"12-11-2023","43,340.00","43,340.00","43,340.00","43,340.00","","-1.10%"
"10-11-2023","43,820.00","43,900.00","44,100.00","43,640.00","0.31K","-0.05%"
"09-11-2023","43,840.00","43,600.00","43,900.00","43,500.00","0.36K","0.25%"
"08-11-2023","43,730.00","43,960.00","43,960.00","43,610.00","0.19K","-0.27%"
"07-11-2023","43,850.00","43,450.00","43,900.00","43,370.00","0.57K","0.53%"
"06-11-2023","43,620.00","44,000.00","44,850.00","43,550.00","0.90K","-1.22%"
"03-11-2023","44,160.00","44,400.00","44,400.00","44,010.00","0.30K","-0.50%"
"02-11-2023","44,380.00","44,300.00","44,390.00","43,990.00","0.88K","0.82%"
"01-11-2023","44,020.00","44,200.00","44,250.00","43,980.00","0.45K","-0.61%"
"31-10-2023","44,290.00","44,300.00","44,400.00","44,070.00","0.55K","-0.07%"
"30-10-2023","44,320.00","44,200.00","44,600.00","44,200.00","0.75K","0.20%"
"27-10-2023","44,230.00","44,380.00","44,700.00","44,020.00","0.95K","-0.36%"
"26-10-2023","44,390.00","44,030.00","44,410.00","43,910.00","1.03K","1.09%"
"25-10-2023","43,910.00","43,900.00","44,220.00","43,850.00","0.68K","-0.18%"
"23-10-2023","43,990.00","44,230.00","44,250.00","43,950.00","0.83K","-0.02%"
"20-10-2023","44,000.00","44,400.00","44,400.00","44,400.00","1.32K","-1.15%"
"19-10-2023","44,510.00","44,510.00","44,510.00","44,510.00","","-1.13%"
"18-10-2023","45,020.00","45,020.00","45,020.00","45,020.00","","0.42%"
"17-10-2023","44,830.00","44,830.00","44,830.00","44,830.00","","1.68%"
"16-10-2023","44,090.00","44,550.00","44,800.00","44,010.00","0.39K","-0.52%"
"13-10-2023","44,320.00","44,600.00","44,600.00","44,060.00","0.36K","-0.87%"
"12-10-2023","44,710.00","45,200.00","45,200.00","44,650.00","0.80K","-1.45%"
"11-10-2023","45,370.00","45,650.00","45,750.00","45,270.00","0.42K","-0.20%"
"10-10-2023","45,460.00","45,540.00","45,600.00","45,300.00","0.57K","-0.24%"
"09-10-2023","45,570.00","45,570.00","45,870.00","45,500.00","0.48K","-1.13%"
"06-10-2023","46,090.00","46,240.00","46,300.00","44,210.00","0.43K","-0.07%"
"05-10-2023","46,120.00","45,610.00","46,160.00","45,610.00","0.48K","1.01%"
"04-10-2023","45,660.00","45,470.00","45,690.00","45,320.00","0.36K","0.40%"
"03-10-2023","45,480.00","45,610.00","45,610.00","45,320.00","0.74K","-0.72%"
"29-09-2023","45,810.00","46,180.00","46,180.00","45,770.00","0.78K","-0.76%"
"28-09-2023","46,160.00","46,440.00","46,630.00","45,200.00","0.41K","-0.71%"
"27-09-2023","46,490.00","46,280.00","46,550.00","46,190.00","0.73K","0.32%"
"26-09-2023","46,340.00","46,510.00","46,580.00","46,300.00","0.58K","-0.47%"
"25-09-2023","46,560.00","47,870.00","47,870.00","46,500.00","1.05K","-0.21%"
"22-09-2023","46,660.00","46,890.00","46,890.00","46,570.00","0.87K","-0.32%"
"21-09-2023","46,810.00","46,800.00","47,120.00","46,670.00","0.68K","-1.24%"
"20-09-2023","47,400.00","46,900.00","46,900.00","46,900.00","","-0.67%"
"18-09-2023","47,720.00","47,720.00","47,720.00","47,720.00","","0.57%"
"15-09-2023","47,450.00","47,450.00","47,450.00","47,450.00","","4.95%"
"14-09-2023","45,210.00","45,210.00","45,210.00","45,210.00","0.01K","-0.70%"
"13-09-2023","45,530.00","45,680.00","46,690.00","45,400.00","0.42K","-0.33%"
"12-09-2023","45,680.00","43,930.00","46,280.00","43,930.00","1.03K","-1.38%"
"11-09-2023","46,320.00","46,650.00","46,820.00","46,240.00","0.97K","-0.73%"
"08-09-2023","46,660.00","46,330.00","46,780.00","46,310.00","1.08K","0.63%"
"07-09-2023","46,370.00","46,420.00","46,650.00","46,310.00","0.67K","-0.09%"
"06-09-2023","46,410.00","46,850.00","46,850.00","46,230.00","0.97K","-0.90%"
"05-09-2023","46,830.00","46,900.00","46,970.00","46,790.00","0.53K","0.00%"
"04-09-2023","46,830.00","46,640.00","46,920.00","46,410.00","0.75K","0.62%"
"01-09-2023","46,540.00","46,660.00","46,660.00","46,440.00","0.38K","-0.17%"
"31-08-2023","46,620.00","46,460.00","46,660.00","46,460.00","0.71K","0.63%"
"30-08-2023","46,330.00","46,320.00","46,410.00","46,100.00","0.63K","-0.19%"
"29-08-2023","46,420.00","46,450.00","46,510.00","46,320.00","0.78K","0.11%"
"28-08-2023","46,370.00","46,270.00","46,480.00","46,220.00","0.62K","0.54%"
"25-08-2023","46,120.00","46,120.00","46,250.00","46,070.00","0.80K","0.13%"
"24-08-2023","46,060.00","45,720.00","46,130.00","45,720.00","0.78K","0.94%"
"23-08-2023","45,630.00","45,750.00","45,750.00","45,590.00","0.53K","-0.07%"
"22-08-2023","45,660.00","45,700.00","46,200.00","45,580.00","0.92K","-0.09%"
"21-08-2023","45,700.00","45,770.00","45,850.00","45,510.00","1.06K","-1.30%"
"18-08-2023","46,300.00","45,900.00","45,900.00","45,900.00","0.57K","0.19%"
"17-08-2023","46,210.00","46,210.00","46,210.00","46,210.00","","6.23%"
